genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_000784405.1,L31,Lactobacillus rhamnosus L31 (firmicutes),Lactobacillus rhamnosus,,AYTQ01,infant feces
GCF_000784395.1,L35,Lactobacillus rhamnosus L35 (firmicutes),Lactobacillus rhamnosus,,AYTP01,infant feces
GCF_000784375.1,L34,Lactobacillus rhamnosus L34 (firmicutes),Lactobacillus rhamnosus,,AYTR01,infant feces
GCF_000769675.1,X2L,Oenococcus oeni X2L (firmicutes),Oenococcus oeni,,JROK01,Wine
GCF_000766905.1,CRL573,Lactobacillus mucosae (firmicutes),Lactobacillus mucosae,,JROC01,feces from children
GCF_000762955.1,CMPG5300,Lactobacillus plantarum CMPG5300 (firmicutes),Lactobacillus plantarum,,AXZV01,vagina of healthy woman
GCF_000765455.1,M3,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,JRTS01,Bacteriophage Insensitive Mutant of strain ATCC 10386
GCF_000765465.1,ATCC 10386,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,JRQG01,dairy product
GCF_000764285.1,FMNP01,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,JPSU01,Guangzhou mango
GCF_000762245.1,S161,Oenococcus oeni S161 (firmicutes),Oenococcus oeni,,AZLN01,Red wine
GCF_000785105.2,CCTCC M 2011381,Lactobacillus curieae (firmicutes),Lactobacillus curieae,assembly from type material,,the brine of stinky tofu
GCF_000814185.1,FMNP02,Lactobacillus sp. FMNP02 (firmicutes),Lactobacillus sp. FMNP02,,JWZV01,Chinese traditional pickle
GCF_000813025.1,DPC 6832,Lactobacillus ruminis DPC 6832 (firmicutes),Lactobacillus ruminis,,AWYA01,equine gastrointestinal tract
GCF_000805355.1,NRIC0822,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,JTJV01,
GCF_000801045.1,116,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JTDC01,feces from gastrointestinal tract of a healthy adult female
GCF_000789175.1,DPC 6426,Lactobacillus mucosae (firmicutes),Lactobacillus mucosae,,JSWI01,missing
GCF_000787735.1,Wikim17,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,BBPK01,
GCF_000786395.1,ATCC 4356,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,assembly from type material,JRUT01,missing
GCF_000785105.1,CCTCC M 2011381,Lactobacillus curieae (firmicutes),Lactobacillus curieae,,JTAL01,the brine of stinky tofu
GCF_000784455.1,WK12,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,BBOW01,
GCF_000820985.2,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,CCNH01,
GCF_000820965.2,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,CCNG01,
GCF_000829055.1,ATCC 393,Lactobacillus casei subsp. casei ATCC 393 (firmicutes),Lactobacillus casei,assembly from type material,,
GCF_000829035.1,JCM 8130,Lactobacillus paracasei subsp. paracasei JCM 8130 (firmicutes),Lactobacillus paracasei,assembly from type material,,
GCF_000827145.1,KL1-Liu,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JXNV01,Tibetan kefir
GCF_000820985.1,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,CCNH01,
GCF_000820965.1,NA,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,CCNG01,
GCF_000814725.1,DmCS_003,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,JOKA01,pure bacterial culture
GCF_000814735.1,DmCS_002,Lactobacillus fructivorans (firmicutes),Lactobacillus fructivorans,,JOJZ01,pure bacterial culture
GCF_000814485.1,308,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JWHC01,saliva from healthy adult female
GCF_000831645.3,DSM 28069,Lactobacillus heilongjiangensis (firmicutes),Lactobacillus heilongjiangensis,,,traditional pickle
GCF_000831645.2,DSM 28069,Lactobacillus heilongjiangensis (firmicutes),Lactobacillus heilongjiangensis,,JXRB02,traditional pickle
GCF_000875905.1,15f,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,JXCD01,feces from a healthy adult female
GCF_000833415.1,TMW 1.6,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,JXUE01,feces
GCF_000833395.1,TMW 1.465,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,JXUG01,soft drink (brewery)
GCF_000833405.1,TMW 1.313,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,JXUF01,beer
GCF_000831645.1,DSM 28069,Lactobacillus heilongjiangensis (firmicutes),Lactobacillus heilongjiangensis,,JXRB01,traditional pickle
GCF_000830535.1,90sk,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,JXAX01,gut biopsy
GCF_000830375.1,AR114,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JPYX01,Honey bee midgut
GCF_000829395.1,LOOC260,Lactobacillus hokkaidonensis JCM 18461 (firmicutes),Lactobacillus hokkaidonensis,assembly from type material,,
GCF_000931425.2,B21,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Vietnamese fermented sausage (nem chua)
GCF_000956195.1,CIP104448,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,JSUW01,Human stool
GCF_000949485.1,DSM 20207,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JYBD01,missing
GCF_000934625.1,FSI4,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,,Yogurt
GCF_000932035.1,CLS17,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JYCS01,stool sample
GCF_000931425.1,B21,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Vietnamese fermented sausage (nem chua)
GCF_000878205.1,MG1,Weissella cibaria (firmicutes),Weissella cibaria,,JWHU01,Not applicable
GCF_000878185.1,AB3b,Weissella cibaria (firmicutes),Weissella cibaria,,JWHT01,Not applicable
GCF_000878215.1,ff3PR,Weissella cibaria (firmicutes),Weissella cibaria,,JWHV01,Not applicable
GCF_000876205.1,WDC04,Lactobacillus wasatchensis (firmicutes),Lactobacillus wasatchensis,assembly from type material,AWTT01,Aged cheddar cheese
GCF_000966835.2,LfQi6,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,
GCF_000966475.1,NL42,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,JZSB01,dairy products
GCF_000967195.1,Biut2,Lactobacillus kullabergensis (firmicutes),Lactobacillus kullabergensis,,JXBY01,gut
GCF_000966835.1,LfQi6,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,LAIK01,
GCF_000965255.1,LP38,Lactobacillus spicheri (firmicutes),Lactobacillus spicheri,,JZCR01,Food
GCF_000962875.1,LMG 28219,Pediococcus damnosus LMG 28219 (firmicutes),Pediococcus damnosus,,JANK01,beer
GCF_000961015.1,KLDS1.8701,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,
GCF_000958525.1,NRIC0644,Lactobacillus paracasei NRIC 0644 (firmicutes),Lactobacillus paracasei,,BAYM01,
GCF_000958505.1,NRIC1917,Lactobacillus paracasei NRIC 1917 (firmicutes),Lactobacillus paracasei,,BAYN01,
GCF_000958485.1,NRIC1981,Lactobacillus paracasei NRIC 1981 (firmicutes),Lactobacillus paracasei,,BAYO01,
GCF_001005805.1,PS128,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LBHS01,fu-tsai (a Taiwan fermented mustard product)
GCF_001005695.1,TIFN101,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,JSUX01,stool
GCF_001005625.1,CNCM-I-3698,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LAZE01,alpine goat rumen
GCF_000980505.1,NA,Lactobacillus sp. N54.MGS-719 (firmicutes),Lactobacillus sp. N54.MGS-719,,LARO01,stool sample from 53 year old healthy female
GCF_000970855.1,Bma5,Lactobacillus helsingborgensis (firmicutes),Lactobacillus helsingborgensis,,JXJR01,gut
GCF_000970795.1,Bin4,Lactobacillus mellifer (firmicutes),Lactobacillus mellifer,,JXJQ01,gut
GCF_000970775.1,Hma8,Lactobacillus melliventris (firmicutes),Lactobacillus melliventris,,JXLI01,gut
GCF_000970755.1,Hma2,Lactobacillus kimbladii (firmicutes),Lactobacillus kimbladii,,JXLH01,gut
GCF_000970735.1,Hma11,Lactobacillus apis (firmicutes),Lactobacillus apis,,JXLG01,gut
GCF_000967245.1,Hon2,Lactobacillus mellis (firmicutes),Lactobacillus mellis,,JXBZ01,gut
GCF_001011095.1,Ren,Lactobacillus salivarius str. Ren (firmicutes),Lactobacillus salivarius,,,human feces
GCF_001010995.1,47f,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,LBHR01,Feces
GCF_001010245.1,90 TC-4,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,LBDH01,missing
GCF_001010185.1,39,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,LBDG01,missing
GCF_001010175.1,8 RA-3,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LBDF01,missing
GCF_001008745.1,S23,Lactobacillus ruminis S23 (firmicutes),Lactobacillus ruminis,,AWYB01,fecal sample
GCF_001008755.1,ATCC 27780,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,assembly from type material,JHAJ01,bovine rumen
GCF_001008765.1,DPC 6830,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,,JHAB01,porcine feces
GCF_001006945.1,NA,Lactobacillus sp. OTU4228 (firmicutes),Lactobacillus sp. OTU4228,,CDLD01,
GCF_001006025.1,MB2-1,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,
GCF_001012735.1,IM1,Lactobacillus jensenii IM1 (firmicutes),Lactobacillus jensenii,,AZRD01,
GCF_001012685.1,IM18-3,Lactobacillus jensenii IM18-3 (firmicutes),Lactobacillus jensenii,,AZNM01,
GCF_001012745.1,IM3,Lactobacillus jensenii IM3 (firmicutes),Lactobacillus jensenii,,AZRE01,
GCF_001012675.1,IM59,Lactobacillus jensenii IM59 (firmicutes),Lactobacillus jensenii,,AZRC01,
GCF_001012665.1,IM18-1,Lactobacillus jensenii IM18-1 (firmicutes),Lactobacillus jensenii,,AZNN01,
GCF_001012655.1,IM11,Lactobacillus jensenii IM11 (firmicutes),Lactobacillus jensenii,,AZNO01,
GCF_001039045.1,TCF032-E4,Lactobacillus herbarum (firmicutes),Lactobacillus herbarum,assembly from type material,LFEE01,fermented radish
GCF_001038455.1,EFB-N1,Fructobacillus sp. EFB-N1 (firmicutes),Fructobacillus sp. EFB-N1,,LDUY01,European foulbrood infected honey bee larva
GCF_001027985.1,DSM 6035,Lactobacillus panis DSM 6035 (firmicutes),Lactobacillus panis,assembly from type material,LDPB01,sourdough
GCF_001013375.1,N87,Lactobacillus casei (firmicutes),Lactobacillus casei,,LCUN01,Infant feces
GCF_001046835.1,IRT,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,,
GCF_001044415.1,313,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LFNB01,saliva
GCF_001044405.1,40f,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LFNA01,feces
GCF_001044075.1,Lr138,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUII01,fermented dairy product
GCF_001043995.1,Lr073,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIK01,feces
GCF_001044015.1,Lr071,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIL01,feces
GCF_001044025.1,Lr108,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUIH01,baby faeces
GCF_001042405.1,NBRC 13120,Lactobacillus acetotolerans (firmicutes),Lactobacillus acetotolerans,,,
GCF_001040725.1,Marseille,Lactobacillus mucosae LM1 (firmicutes),Lactobacillus mucosae,,CVQW01,
GCF_001039735.1,L930BB,Lactobacillus fermentum L930BB (firmicutes),Lactobacillus fermentum,,CBUR01,
GCF_001047075.2,JCM 12225,Fructobacillus ficulneus (firmicutes),Fructobacillus ficulneus,assembly from type material,BBXQ01,
GCF_001047095.2,NRIC 1058,Fructobacillus fructosus (firmicutes),Fructobacillus fructosus,assembly from type material,BBXR01,
GCF_001047115.2,DSM 15468,Fructobacillus pseudoficulneus (firmicutes),Fructobacillus pseudoficulneus,assembly from type material,BBXS01,
GCF_001047135.2,F214-1,Fructobacillus tropaeoli (firmicutes),Fructobacillus tropaeoli,assembly from type material,BBXT01,
GCF_001050435.1,26-25,Lactobacillus koreensis (firmicutes),Lactobacillus koreensis,,,kimchi
GCF_001047695.1,DSM 20484,Leuconostoc mesenteroides subsp. dextranicum (firmicutes),Leuconostoc mesenteroides,assembly from type material,,Cheese
GCF_001047135.1,F214-1,Fructobacillus tropaeoli (firmicutes),Fructobacillus tropaeoli,,BBXT01,
GCF_001047115.1,DSM 15468,Fructobacillus pseudoficulneus (firmicutes),Fructobacillus pseudoficulneus,,BBXS01,
GCF_001047095.1,NRIC 1058,Fructobacillus fructosus (firmicutes),Fructobacillus fructosus,,BBXR01,
GCF_001047075.1,JCM 12225,Fructobacillus ficulneus (firmicutes),Fructobacillus ficulneus,,BBXQ01,
GCF_001063655.1,526_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVDP01,missing
GCF_001063505.1,497_LGAS,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JVEV01,missing
GCF_001063065.1,249_LKEF,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JVOL01,missing
GCF_001063045.1,240_LCRI,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JVOU01,missing
GCF_001062955.1,214_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVPR01,missing
GCF_001062885.1,186_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVQV01,missing
GCF_001062695.1,1316.rep2_LPAR,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JVUA01,missing
GCF_001062665.1,1316.rep1_LPAR,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JVUB01,missing
GCF_001062635.1,1300_LCIT,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,JVUV01,missing
GCF_001050475.1,EMML 3041,Lactobacillus ginsenosidimutans (firmicutes),Lactobacillus ginsenosidimutans,assembly from type material,,kimchi
GCF_001066715.1,870_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUPX01,missing
GCF_001066695.1,867_LCAS,Lactobacillus casei (firmicutes),Lactobacillus casei,,JUPZ01,missing
GCF_001066665.1,866_LSAL,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,JUQA01,missing
GCF_001066565.1,844_LCAS,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JUQW01,missing
GCF_001066235.1,770_LJOH,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JUTQ01,missing
GCF_001065365.1,541_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVCX01,missing
GCF_001064985.1,459_LHEL,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JVGG01,missing
GCF_001064785.1,390_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVIZ01,missing
GCF_001064515.1,319_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JVLT01,missing
GCF_001063855.1,609_LSAL,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,JVAF01,missing
GCF_001068195.1,943_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUMP01,missing
GCF_001068045.1,988_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUKV01,missing
GCF_001068015.1,979_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JULF01,missing
GCF_001067885.1,906_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUON01,missing
GCF_001067625.1,893_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUPA01,missing
GCF_001067335.1,784_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUTB01,missing
GCF_001067265.1,778_LSAL,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,JUTI01,missing
GCF_001067215.1,769_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUTS01,missing
GCF_001067025.1,708_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUWG01,missing
GCF_001066975.1,699_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUWQ01,missing
GCF_001188985.1,FL0421,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,LFLY01,Temperate decuduous forest biome soil
GCF_001184265.1,LbT16,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,LAYV01,Taleggio cheese
GCF_001184245.1,LbE15,Leuconostoc mesenteroides subsp. dextranicum (firmicutes),Leuconostoc mesenteroides,,LAYN01,Taleggio cheese
GCF_001184255.1,LbE16,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,LAYU01,Taleggio cheese
GCF_001077275.1,1301_LGAS,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,JVUU01,missing
GCF_001077025.1,779_LFER,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,JUTH01,missing
GCF_001076935.1,525_LPAR,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JVDQ01,missing
GCF_001076595.1,275_LPAR,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,JVNI01,missing
GCF_001068345.1,987_LJOH,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,JUKW01,missing
GCF_001068215.1,944_LRHA,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,JUMO01,missing
GCF_001272315.2,CGMCC 1.557,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,,missing
GCF_001272315.1,CGMCC 1.557,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,LIGM01,missing
GCF_001270785.1,16,Lactobacillus johnsonii 16 (firmicutes),Lactobacillus johnsonii,,LIGY01,feces
GCF_001267905.1,L31-1,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEKW01,
GCF_001263315.1,KACC 13439,Lactobacillus delbrueckii subsp. delbrueckii (firmicutes),Lactobacillus delbrueckii,,LHPL01,missing
GCF_001244395.1,L9,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,isolated from the feces of a centenarian
GCF_001243975.1,Marseille,Lactobacillus agilis (firmicutes),Lactobacillus agilis,,CVQY01,
GCF_001191565.1,CAUH35,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,Koumiss
GCF_001190005.1,JCM 17838,Lactobacillus delbrueckii subsp. sunkii (firmicutes),Lactobacillus delbrueckii,assembly from type material,LGHR01,"sunki, Japanese traditional fermented vegetable"
GCF_001189855.1,JCM 15610,Lactobacillus delbrueckii subsp. indicus (firmicutes),Lactobacillus delbrueckii,assembly from type material,LGAS01,missing
GCF_001293735.1,KZ01,Lactobacillus gorillae (firmicutes),Lactobacillus gorillae,assembly from type material,BCAH01,
GCF_001281285.1,LAni,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXDA01,
GCF_001281265.1,YH-15,Lactobacillus kunkeei DSM 12361 = ATCC 700308 (firmicutes),Lactobacillus kunkeei,assembly from type material,JXDB01,spoiled wine fermentation
GCF_001281205.1,LAko,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCY01,
GCF_001281225.1,LAan,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCV01,
GCF_001281215.1,LAla,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCZ01,
GCF_001281165.1,Fhon2,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCU01,
GCF_001281175.1,Fhon13,Lactobacillus apinorum (firmicutes),Lactobacillus apinorum,,JXCT01,
GCF_001278015.1,5-2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,fermented soybean
GCF_001273585.1,SNU.Lp177,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LGIM01,Porcine feces
GCF_001308145.2,CH2,Weissella cibaria (firmicutes),Weissella cibaria,,,fermented food
GCF_001308195.1,LMbo,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXDF01,
GCF_001308185.1,LMbe,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXDE01,
GCF_001308145.1,CH2,Weissella cibaria (firmicutes),Weissella cibaria,,,fermented food
GCF_001307325.1,WJL,Lactobacillus plantarum WJL (firmicutes),Lactobacillus plantarum,,LKLZ01,insect gut
GCF_001302645.1,HFC8,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,faecal sample
GCF_001297905.1,UCO-979C,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,LJWZ01,
GCF_001297025.1,HFB3,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,LJFJ01,fecal sample
GCF_001296095.1,ZS2058,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,sauerkraut
GCF_001294765.1,K3,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,LJBS01,raw rice wine
GCF_001311155.1,JCM 12514,Lactobacillus manihotivorans DSM 13343 = JCM 12514 (firmicutes),Lactobacillus manihotivorans,assembly from type material,BBAH01,
GCF_001311135.1,JCM 11969,Lactobacillus paracollinoides DSM 15502 = JCM 11969 (firmicutes),Lactobacillus paracollinoides,assembly from type material,BBAG01,
GCF_001311115.1,JCM 11027,Lactobacillus lindneri DSM 20690 = JCM 11027 (firmicutes),Lactobacillus lindneri,assembly from type material,BBAF01,
GCF_001311095.1,JCM 10707,Lactobacillus paralimentarius DSM 13961 = JCM 10707 (firmicutes),Lactobacillus paralimentarius,assembly from synonym type material,BBAE01,
GCF_001311075.1,JCM 2765,Lactobacillus similis DSM 23365 = JCM 2765 (firmicutes),Lactobacillus similis,assembly from type material,BBAD01,
GCF_001311055.1,JCM 1186,Lactobacillus sharpeae JCM 1186 = DSM 20505 (firmicutes),Lactobacillus sharpeae,assembly from type material,BBAC01,
GCF_001308305.1,Nizo2877,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LKHZ01,hot-dog
GCF_001308285.1,CAUH18,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,koumiss
GCF_001308215.1,LAnu,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXDD01,
GCF_001308205.1,LAdo,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXDC01,
GCF_001311425.1,JCM 15041,Lactobacillus kisonensis DSM 19906 = JCM 15041 (firmicutes),Lactobacillus kisonensis,assembly from type material,BBAU01,
GCF_001311395.1,JCM 15040,Lactobacillus otakiensis DSM 19908 = JCM 15040 (firmicutes),Lactobacillus otakiensis,assembly from type material,BBAT01,
GCF_001311375.1,JCM 14505,Lactobacillus equigenerosi DSM 18793 = JCM 14505 (firmicutes),Lactobacillus equigenerosi,assembly from type material,BBAS01,
GCF_001311355.1,JCM 14109,Lactobacillus parafarraginis DSM 18390 = JCM 14109 (firmicutes),Lactobacillus parafarraginis,assembly from type material,BBAR01,
GCF_001311335.1,JCM 8572,Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550 = JCM 8572 (firmicutes),Lactobacillus kefiranofaciens,assembly from type material,BBAQ01,
GCF_001311275.1,JCM 1002,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002 (firmicutes),Lactobacillus delbrueckii,assembly from type material,BBAN01,
GCF_001311255.1,JCM 17158,Lactobacillus nasuensis JCM 17158 (firmicutes),Lactobacillus nasuensis,assembly from type material,BBAM01,
GCF_001311215.1,JCM 16035,Lactobacillus florum DSM 22689 = JCM 16035 (firmicutes),Lactobacillus florum,assembly from type material,BBAK01,
GCF_001311195.1,JCM 13995,Lactobacillus camelliae DSM 22697 = JCM 13995 (firmicutes),Lactobacillus camelliae,assembly from type material,BBAJ01,
GCF_001311175.1,JCM 12539,Lactobacillus pantheris DSM 15945 = JCM 12539 = NBRC 106106 (firmicutes),Lactobacillus pantheris,assembly from type material,BBAI01,
GCF_001311745.1,JCM 5818,Lactobacillus kefiri DSM 20587 = JCM 5818 (firmicutes),Lactobacillus kefiri,assembly from type material,BBBV01,
GCF_001311725.1,JCM 3825,Lactobacillus acetotolerans DSM 20749 = JCM 3825 (firmicutes),Lactobacillus acetotolerans,assembly from type material,BBBU01,
GCF_001311685.1,JCM 1185,Lactobacillus crispatus DSM 20584 = JCM 1185 (firmicutes),Lactobacillus crispatus,assembly from type material,BBBS01,
GCF_001311665.1,JCM 1125,Lactobacillus amylophilus DSM 20533 = JCM 1125 (firmicutes),Lactobacillus amylophilus,assembly from type material,BBBR01,
GCF_001311645.1,JCM 1096,Lactobacillus curvatus JCM 1096 = DSM 20019 (firmicutes),Lactobacillus curvatus,assembly from type material,BBBQ01,
GCF_001311525.1,JCM 18671,Lactobacillus oryzae JCM 18671 (firmicutes),Lactobacillus oryzae,assembly from type material,BBAZ01,
GCF_001311505.1,JCM 18461,Lactobacillus hokkaidonensis JCM 18461 (firmicutes),Lactobacillus hokkaidonensis,assembly from type material,BBAY01,
GCF_001311485.1,JCM 17196,Lactobacillus ozensis DSM 23829 = JCM 17196 (firmicutes),Lactobacillus ozensis,assembly from type material,BBAX01,
GCF_001311465.1,JCM 16512,Lactobacillus floricola DSM 23037 = JCM 16512 (firmicutes),Lactobacillus floricola,assembly from type material,BBAW01,
GCF_001311445.1,JCM 15042,Lactobacillus rapi DSM 19907 = JCM 15042 (firmicutes),Lactobacillus rapi,assembly from type material,BBAV01,
GCF_001314245.1,HFD4,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,,faecal sample
GCF_001313225.1,JCM 19001,Lactobacillus silagei JCM 19001 (firmicutes),Lactobacillus silagei,assembly from type material,BBFL01,
GCF_001313205.1,JCM 15530,Lactobacillus kimchicus JCM 15530 (firmicutes),Lactobacillus kimchicus,assembly from type material,BBFK01,
GCF_001313185.1,JCM 15043,Lactobacillus odoratitofui DSM 19909 = JCM 15043 (firmicutes),Lactobacillus odoratitofui,assembly from type material,BBFJ01,
GCF_001312865.1,JCM 13996,Lactobacillus thailandensis DSM 22698 = JCM 13996 (firmicutes),Lactobacillus thailandensis,assembly from type material,BBER01,
GCF_001312845.1,JCM 1123,Lactobacillus collinoides DSM 20515 = JCM 1123 (firmicutes),Lactobacillus collinoides,assembly from type material,BBEQ01,
GCF_001312065.1,JCM 17472,Lactobacillus senioris DSM 24302 = JCM 17472 (firmicutes),Lactobacillus senioris,assembly from type material,BBCR01,
GCF_001312045.1,JCM 12392,Lactobacillus satsumensis DSM 16230 = JCM 12392 (firmicutes),Lactobacillus satsumensis,assembly from type material,BBCQ01,
GCF_001311785.1,JCM 17471,Lactobacillus saniviri JCM 17471 = DSM 24301 (firmicutes),Lactobacillus saniviri,assembly from type material,BBBX01,
GCF_001311765.1,JCM 14600,Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 (firmicutes),Lactobacillus equicursoris,assembly from type material,BBBW01,
GCF_001331925.2,WLPL04,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,breast of healthy woman
GCF_001314245.2,HFD4,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,,faecal sample
