	GCA_000176995.1	GCA_001046795.1	GCA_002025085.1	GCA_002311195.1	GCA_002406765.1	GCA_002418095.1	GCA_003045645.1	GCA_003045685.1	GCA_003072625.1	GCA_003433375.1	GCA_003535895.1	GCA_003666485.1	GCA_900088455.1	GCF_000014385.1	GCF_000014505.1	GCF_000091765.1	GCF_000092505.1	GCF_000146325.1	GCF_000159195.1	GCF_000159335.1	GCF_000159375.2	GCF_000159395.1	GCF_000159415.1	GCF_000159435.1	GCF_000160575.1	GCF_000160835.1	GCF_000160875.1	GCF_000161935.1	GCF_000162395.1	GCF_000165675.1	GCF_000165775.1	GCF_000166715.1	GCF_000178475.1	GCF_000179875.1	GCF_000180015.1	GCF_000182855.2	GCF_000193635.1	GCF_000211375.1	GCF_000219805.1	GCF_000235705.1	GCF_000237995.1	GCF_000241055.1	GCF_000242275.1	GCF_000247775.1	GCF_000248095.2	GCF_000260395.1	GCF_000260775.1	GCF_000271445.1	GCF_000277855.1	GCF_000296855.1	GCF_000297025.1	GCF_000300135.1	GCF_000304715.1	GCF_000312405.1	GCF_000364205.1	GCF_000389675.2	GCF_000415925.1	GCF_000420365.1	GCF_000423245.1	GCF_000423265.1	GCF_000425905.1	GCF_000469325.1	GCF_000498955.1	GCF_000504525.1	GCF_000686465.1	GCF_000691805.1	GCF_000715455.1	GCF_000740055.1	GCF_000741865.1	GCF_000750515.1	GCF_000761135.1	GCF_000785105.1	GCF_000814185.1	GCF_000814735.1	GCF_000829395.1	GCF_000831645.1	GCF_000876205.1	GCF_000962875.1	GCF_000965255.1	GCF_000967245.1	GCF_000970755.1	GCF_000970795.1	GCF_001012665.1	GCF_001027985.1	GCF_001039045.1	GCF_001047075.2	GCF_001047095.1	GCF_001047135.1	GCF_001050435.1	GCF_001050475.1	GCF_001190005.1	GCF_001281175.1	GCF_001293735.1	GCF_001308205.1	GCF_001433765.1	GCF_001433815.1	GCF_001433995.1	GCF_001434055.1	GCF_001434115.1	GCF_001434195.1	GCF_001434225.1	GCF_001434255.1	GCF_001434275.1	GCF_001434295.1	GCF_001434315.1	GCF_001434335.1	GCF_001434395.1	GCF_001434405.1	GCF_001434435.1	GCF_001434455.1	GCF_001434515.1	GCF_001434535.1	GCF_001434555.1	GCF_001434575.1	GCF_001434665.1	GCF_001434695.1	GCF_001434705.1	GCF_001434745.1	GCF_001434775.1	GCF_001434785.1	GCF_001434815.1	GCF_001434835.1	GCF_001434845.1	GCF_001434895.1	GCF_001434915.1	GCF_001434935.1	GCF_001434975.1	GCF_001434985.1	GCF_001435035.1	GCF_001435115.1	GCF_001435155.1	GCF_001435195.1	GCF_001435235.1	GCF_001435245.1	GCF_001435325.1	GCF_001435345.1	GCF_001435375.1	GCF_001435395.1	GCF_001435445.1	GCF_001435505.1	GCF_001435555.1	GCF_001435575.1	GCF_001435585.1	GCF_001435755.1	GCF_001435815.1	GCF_001435835.1	GCF_001435875.1	GCF_001435895.1	GCF_001435975.1	GCF_001435995.1	GCF_001436035.1	GCF_001436045.1	GCF_001436095.1	GCF_001436115.1	GCF_001436125.1	GCF_001436135.1	GCF_001436225.1	GCF_001436255.1	GCF_001436275.1	GCF_001436295.1	GCF_001436375.1	GCF_001436415.1	GCF_001436505.1	GCF_001436535.1	GCF_001436555.1	GCF_001436595.1	GCF_001436605.1	GCF_001436615.1	GCF_001436675.1	GCF_001436695.1	GCF_001436705.1	GCF_001436735.1	GCF_001436755.1	GCF_001436775.1	GCF_001436805.1	GCF_001436895.1	GCF_001437055.1	GCF_001437075.1	GCF_001437125.1	GCF_001437335.1	GCF_001437355.1	GCF_001437405.1	GCF_001437425.1	GCF_001437435.1	GCF_001437465.1	GCF_001437605.1	GCF_001438655.1	GCF_001438685.1	GCF_001438705.1	GCF_001438805.1	GCF_001438845.1	GCF_001636145.1	GCF_001640785.1	GCF_001652045.1	GCF_001663675.1	GCF_001761545.1	GCF_001951175.1	GCF_001971585.1	GCF_002117325.1	GCF_002157585.1	GCF_002217925.1	GCF_002217945.1	GCF_002217965.1	GCF_002240375.1	GCF_002276525.1	GCF_002583405.1	GCF_002762335.1	GCF_002872255.1	GCF_002911475.1	GCF_002916915.1	GCF_002916935.1	GCF_002940945.1	GCF_002970915.1	GCF_002970935.1	GCF_002982135.1	GCF_002993965.1	GCF_002994005.1	GCF_003096575.1	GCF_003124125.1	GCF_003151025.1	GCF_003202825.1	GCF_003363255.1	GCF_003423665.1	GCF_003515805.1	GCF_003573575.1	GCF_003606365.1	GCF_003627035.1	GCF_003692755.1	GCF_003692845.1	GCF_900094835.1	GCF_900095015.1	GCF_900108455.1	GCF_900110005.1	GCF_900112405.1	GCF_900156885.1	GCF_900215775.1	GCF_900240275.1	GCF_900258455.1	GCF_900411375.1
OG0013014																																																	NZ_JH724992.1_204																																																																																																																																																																																														
OG0013015																																																	NZ_JH724992.1_221																																																																																																																																																																																														
OG0013016																																																	NZ_JH724993.1_1																																																																																																																																																																																														
OG0013017																																																	NZ_JH724993.1_2																																																																																																																																																																																														
OG0013018																																																	NZ_JH724993.1_4																																																																																																																																																																																														
OG0013019																																																	NZ_JH724993.1_6																																																																																																																																																																																														
OG0013020																																																	NZ_JH724993.1_9																																																																																																																																																																																														
OG0013021																																																	NZ_JH724993.1_14																																																																																																																																																																																														
OG0013022																																																	NZ_JH724993.1_18																																																																																																																																																																																														
OG0013023																																																	NZ_JH724993.1_19																																																																																																																																																																																														
OG0013024																																																	NZ_JH724993.1_20																																																																																																																																																																																														
OG0013025																																																	NZ_JH724993.1_21																																																																																																																																																																																														
OG0013026																																																	NZ_JH724993.1_22																																																																																																																																																																																														
OG0013027																																																	NZ_JH724993.1_23																																																																																																																																																																																														
OG0013028																																																	NZ_JH724993.1_24																																																																																																																																																																																														
OG0013029																																																	NZ_JH724993.1_25																																																																																																																																																																																														
OG0013030																																																	NZ_JH724993.1_28																																																																																																																																																																																														
OG0013031																																																	NZ_JH724993.1_29																																																																																																																																																																																														
OG0013032																																																	NZ_JH724993.1_30																																																																																																																																																																																														
OG0013033																																																	NZ_JH724993.1_40																																																																																																																																																																																														
OG0013034																																																	NZ_JH724993.1_46																																																																																																																																																																																														
OG0013035																																																	NZ_JH724993.1_59																																																																																																																																																																																														
OG0013036																																																	NZ_JH724993.1_63																																																																																																																																																																																														
OG0013037																																																	NZ_AKZK01000017.1_4																																																																																																																																																																																														
OG0013038																																																	NZ_AKZK01000017.1_10																																																																																																																																																																																														
OG0013039																																																	NZ_AKZK01000017.1_13																																																																																																																																																																																														
OG0013040																																																	NZ_AKZK01000017.1_53																																																																																																																																																																																														
OG0013041																																																	NZ_AKZK01000018.1_15																																																																																																																																																																																														
OG0013042																																																	NZ_AKZK01000018.1_27																																																																																																																																																																																														
OG0013043																																																	NZ_AKZK01000018.1_67																																																																																																																																																																																														
OG0013044																																																	NZ_AKZK01000018.1_104																																																																																																																																																																																														
OG0013045																																																	NZ_AKZK01000019.1_18																																																																																																																																																																																														
OG0013046																																																	NZ_AKZK01000019.1_19																																																																																																																																																																																														
OG0013047																																																	NZ_AKZK01000019.1_20																																																																																																																																																																																														
OG0013048																																																	NZ_AKZK01000019.1_21																																																																																																																																																																																														
OG0013049																																																	NZ_AKZK01000020.1_104																																																																																																																																																																																														
OG0013050																																																	NZ_AKZK01000020.1_105																																																																																																																																																																																														
OG0013051																																																	NZ_JH724994.1_7																																																																																																																																																																																														
OG0013052																																																	NZ_JH724994.1_73																																																																																																																																																																																														
OG0013053																																																	NZ_JH724994.1_89																																																																																																																																																																																														
OG0013054																																																	NZ_JH724994.1_128																																																																																																																																																																																														
OG0013055																																																	NZ_JH724994.1_151																																																																																																																																																																																														
OG0013056																																																	NZ_JH724994.1_159																																																																																																																																																																																														
OG0013057																																																	NZ_AKZK01000024.1_24																																																																																																																																																																																														
OG0013058																																																	NZ_AKZK01000024.1_42																																																																																																																																																																																														
OG0013059																																																	NZ_JH724995.1_147																																																																																																																																																																																														
OG0013060																																																	NZ_JH724996.1_9																																																																																																																																																																																														
OG0013061																																																	NZ_JH724996.1_63																																																																																																																																																																																														
OG0013062																																																	NZ_JH724996.1_90																																																																																																																																																																																														
OG0013063																																																	NZ_JH724996.1_160																																																																																																																																																																																														
OG0013064																																																	NZ_AKZK01000033.1_15																																																																																																																																																																																														
OG0013065																																																	NZ_AKZK01000033.1_23																																																																																																																																																																																														
OG0013066																																																	NZ_AKZK01000034.1_3																																																																																																																																																																																														
OG0013067																																																	NZ_AKZK01000034.1_8																																																																																																																																																																																														
OG0013068																																																	NZ_AKZK01000034.1_11																																																																																																																																																																																														
OG0013069																																																	NZ_AKZK01000034.1_25																																																																																																																																																																																														
OG0013070																																																	NZ_AKZK01000034.1_26																																																																																																																																																																																														
OG0013071																																																	NZ_AKZK01000034.1_86																																																																																																																																																																																														
OG0013072																																																	NZ_AKZK01000038.1_2																																																																																																																																																																																														
OG0013073																																																	NZ_AKZK01000038.1_4																																																																																																																																																																																														
OG0013074																																																	NZ_AKZK01000038.1_5																																																																																																																																																																																														
OG0013075																																																	NZ_AKZK01000039.1_17																																																																																																																																																																																														
OG0013076																																																	NZ_AKZK01000039.1_24																																																																																																																																																																																														
OG0013077																																																	NZ_AKZK01000039.1_32																																																																																																																																																																																														
OG0013078																																																	NZ_AKZK01000040.1_8																																																																																																																																																																																														
OG0013079																																																	NZ_AKZK01000040.1_11																																																																																																																																																																																														
OG0013080																																																	NZ_AKZK01000040.1_17																																																																																																																																																																																														
OG0013081																																																	NZ_AKZK01000040.1_18																																																																																																																																																																																														
OG0013082																																																	NZ_JH724998.1_36																																																																																																																																																																																														
OG0013083																																																	NZ_JH724998.1_72																																																																																																																																																																																														
OG0013084																																																	NZ_AKZK01000047.1_24																																																																																																																																																																																														
OG0013085																																																	NZ_AKZK01000047.1_43																																																																																																																																																																																														
OG0013086																																																	NZ_JH724999.1_34																																																																																																																																																																																														
OG0013087																																																	NZ_AKZK01000051.1_13																																																																																																																																																																																														
OG0013088																																																	NZ_AKZK01000051.1_39																																																																																																																																																																																														
OG0013089																																																	NZ_AKZK01000051.1_69																																																																																																																																																																																														
OG0013090																																																	NZ_AKZK01000051.1_74																																																																																																																																																																																														
OG0013091																																																	NZ_AKZK01000055.1_15																																																																																																																																																																																														
OG0013092																																																	NZ_AKZK01000064.1_1																																																																																																																																																																																														
OG0013093																																																	NZ_JH725002.1_4																																																																																																																																																																																														
OG0013094																																																	NZ_AKZK01000067.1_1																																																																																																																																																																																														
OG0013095																																																	NZ_AKZK01000067.1_2																																																																																																																																																																																														
OG0013096																																																	NZ_AKZK01000068.1_3																																																																																																																																																																																														
OG0013097																																																	NZ_AKZK01000068.1_7																																																																																																																																																																																														
OG0013098																																																	NZ_AKZK01000068.1_10																																																																																																																																																																																														
OG0013099																																																	NZ_AKZK01000068.1_14																																																																																																																																																																																														
OG0013100																																																	NZ_AKZK01000068.1_15																																																																																																																																																																																														
OG0013101																																																	NZ_AKZK01000070.1_1																																																																																																																																																																																														
OG0013102																																																	NZ_AKZK01000075.1_1																																																																																																																																																																																														
OG0013103																																																	NZ_AKZK01000078.1_1																																																																																																																																																																																														
OG0013104																																																	NZ_JH725003.1_1																																																																																																																																																																																														
OG0013105																																																	NZ_JH725003.1_2																																																																																																																																																																																														
OG0013106																																																	NZ_AKZK01000084.1_1																																																																																																																																																																																														
OG0013107																																																	NZ_AKZK01000086.1_1																																																																																																																																																																																														
OG0013108																																																	NZ_AKZK01000089.1_1																																																																																																																																																																																														
OG0013109																																																	NZ_AKZK01000092.1_1																																																																																																																																																																																														
OG0013110																																																	NZ_AKZK01000093.1_1																																																																																																																																																																																														
OG0013111																																																	NZ_AKZK01000096.1_1																																																																																																																																																																																														
OG0013112																																																	NZ_AKZK01000096.1_2																																																																																																																																																																																														
OG0013113																																																	NZ_AKZK01000097.1_1																																																																																																																																																																																														
OG0013114																																																	NZ_AKZK01000100.1_1																																																																																																																																																																																														
OG0013115																																																	NZ_AKZK01000102.1_1																																																																																																																																																																																														
OG0013116																																																	NZ_JH725006.1_1																																																																																																																																																																																														
OG0013117																																																	NZ_AKZK01000109.1_1																																																																																																																																																																																														
OG0013118																																																	NZ_AKZK01000112.1_1																																																																																																																																																																																														
OG0013119																																																	NZ_AKZK01000115.1_1																																																																																																																																																																																														
OG0013120																																																	NZ_AKZK01000116.1_1																																																																																																																																																																																														
OG0013121																																																	NZ_JH725007.1_1																																																																																																																																																																																														
OG0013122																																																	NZ_AKZK01000119.1_1																																																																																																																																																																																														
OG0013123																																																	NZ_AKZK01000122.1_1																																																																																																																																																																																														
OG0013124																																																	NZ_AKZK01000123.1_1																																																																																																																																																																																														
OG0013125																																																	NZ_AKZK01000125.1_1																																																																																																																																																																																														
OG0013126																																																	NZ_AKZK01000126.1_1																																																																																																																																																																																														
OG0013127																																																	NZ_AKZK01000128.1_1																																																																																																																																																																																														
OG0013128																																																	NZ_AKZK01000129.1_1																																																																																																																																																																																														
OG0013129																																																	NZ_AKZK01000130.1_1																																																																																																																																																																																														
OG0013130																																																	NZ_AKZK01000132.1_1																																																																																																																																																																																														
OG0013131																																																	NZ_JH725008.1_3																																																																																																																																																																																														
OG0013132																																																	NZ_AKZK01000137.1_1																																																																																																																																																																																														
OG0013133																																																	NZ_AKZK01000138.1_1																																																																																																																																																																																														
OG0013134																																																	NZ_AKZK01000139.1_1																																																																																																																																																																																														
OG0013135																																																	NZ_AKZK01000141.1_1																																																																																																																																																																																														
OG0013136																																																	NZ_AKZK01000142.1_1																																																																																																																																																																																														
OG0013137																																																	NZ_AKZK01000143.1_1																																																																																																																																																																																														
OG0013138																																																	NZ_JH725009.1_1																																																																																																																																																																																														
OG0013139																																																	NZ_JH725010.1_1																																																																																																																																																																																														
OG0013140																																																	NZ_AKZK01000149.1_1																																																																																																																																																																																														
OG0013141																																																	NZ_AKZK01000150.1_1																																																																																																																																																																																														
OG0013142																																																	NZ_JH725011.1_1																																																																																																																																																																																														
OG0013143																																																	NZ_JH725011.1_2																																																																																																																																																																																														
OG0013144																																																	NZ_AKZK01000155.1_1																																																																																																																																																																																														
OG0013145																																																	NZ_AKZK01000156.1_1																																																																																																																																																																																														
OG0013146																																																	NZ_AKZK01000158.1_1																																																																																																																																																																																														
OG0013147																																																	NZ_AKZK01000159.1_1																																																																																																																																																																																														
OG0013148																																																	NZ_AKZK01000161.1_1																																																																																																																																																																																														
OG0013149																																																	NZ_AKZK01000163.1_1																																																																																																																																																																																														
OG0013150																																																	NZ_JH725012.1_1																																																																																																																																																																																														
OG0013151																																																	NZ_AKZK01000166.1_1																																																																																																																																																																																														
OG0013152																																																	NZ_AKZK01000167.1_2																																																																																																																																																																																														
OG0013153																																																	NZ_AKZK01000169.1_1																																																																																																																																																																																														
OG0013154																																																	NZ_JH725013.1_1																																																																																																																																																																																														
OG0013155																																																	NZ_AKZK01000172.1_1																																																																																																																																																																																														
OG0013156																																																	NZ_AKZK01000174.1_1																																																																																																																																																																																														
OG0013157																																																	NZ_AKZK01000175.1_1																																																																																																																																																																																														
OG0013158																																																	NZ_AKZK01000177.1_1																																																																																																																																																																																														
OG0013159																																																	NZ_JH725014.1_1																																																																																																																																																																																														
OG0013160																																																	NZ_JH725014.1_2																																																																																																																																																																																														
OG0013161																																																	NZ_AKZK01000183.1_1																																																																																																																																																																																														
OG0013162																																																	NZ_AKZK01000184.1_1																																																																																																																																																																																														
OG0013163																																																	NZ_AKZK01000185.1_1																																																																																																																																																																																														
OG0013164																																																	NZ_AKZK01000186.1_1																																																																																																																																																																																														
OG0013165																																																	NZ_JH725015.1_1																																																																																																																																																																																														
OG0013166																																																	NZ_AKZK01000192.1_1																																																																																																																																																																																														
OG0013167																																																	NZ_JH725016.1_1																																																																																																																																																																																														
OG0013168																																																	NZ_AKZK01000195.1_1																																																																																																																																																																																														
OG0013169																																																	NZ_AKZK01000196.1_1																																																																																																																																																																																														
OG0013170																																																	NZ_AKZK01000199.1_1																																																																																																																																																																																														
OG0013171																																																	NZ_AKZK01000202.1_1																																																																																																																																																																																														
OG0013172																																																	NZ_AKZK01000204.1_1																																																																																																																																																																																														
OG0013173																																																	NZ_AKZK01000207.1_1																																																																																																																																																																																														
OG0013174																																																	NZ_AKZK01000209.1_1																																																																																																																																																																																														
OG0013175																																																	NZ_AKZK01000210.1_1																																																																																																																																																																																														
OG0013176																																																	NZ_AKZK01000211.1_1																																																																																																																																																																																														
OG0013177																																																	NZ_AKZK01000212.1_1																																																																																																																																																																																														
OG0013178																																																	NZ_AKZK01000213.1_1																																																																																																																																																																																														
OG0013179																																																	NZ_AKZK01000216.1_1																																																																																																																																																																																														
OG0013180																																																	NZ_AKZK01000217.1_1																																																																																																																																																																																														
OG0013181																																																	NZ_AKZK01000217.1_2																																																																																																																																																																																														
